Designator,Mid X,Mid Y,Rotation,Layer
C29_3,125.001999,-18.15,180.0,top
C29_2,29.001999,-76.15,180.0,top
C29,77.001999,-76.15,180.0,top
C3_8,174.501999,-81.5,90.0,top
C3_7,78.501999,-23.5,90.0,top
C3_6,78.501999,-81.5,90.0,top
C3_5,174.501999,-23.5,90.0,top
C3_4,126.501999,-81.5,90.0,top
C3_3,30.501999,-23.5,90.0,top
C3_2,126.501999,-23.5,90.0,top
C3,30.501999,-81.5,90.0,top
C30_8,92.001999,-18.05,180.0,top
C30_7,140.001999,-76.05,180.0,top
C30_6,140.001999,-18.05,180.0,top
C30_5,188.001999,-18.05,180.0,top
C30_4,188.001999,-76.05,180.0,top
C30_3,44.001999,-18.05,180.0,top
C30_2,44.001999,-76.05,180.0,top
C30,92.001999,-76.05,180.0,top
C31_8,187.581036,-69.701472,180.0,top
C31_7,91.581036,-69.701472,180.0,top
C31_6,43.581036,-11.701472,180.0,top
C31_5,187.581036,-11.701472,180.0,top
C31_4,91.581036,-11.701472,180.0,top
C31_3,43.581036,-69.701472,180.0,top
C31_2,139.581036,-11.701472,180.0,top
C31,139.581036,-69.701472,180.0,top
C32_8,73.101999,-78.15,90.0,top
C32_7,25.101999,-78.15,90.0,top
C32_6,121.101999,-78.15,90.0,top
C32_5,73.101999,-20.15,90.0,top
C32_4,25.101999,-20.15,90.0,top
C32_3,169.101999,-78.15,90.0,top
C32_2,169.101999,-20.15,90.0,top
C32,121.101999,-20.15,90.0,top
C33_8,77.201999,-11.95,270.0,top
C33_7,77.201999,-69.95,270.0,top
C33_6,173.201999,-11.95,270.0,top
C33_5,173.201999,-69.95,270.0,top
C33_4,29.201999,-69.95,270.0,top
C33_3,125.201999,-11.95,270.0,top
C33_2,29.201999,-11.95,270.0,top
C33,125.201999,-69.95,270.0,top
C34_8,91.581036,-70.55,180.0,top
C34_7,43.581036,-12.55,180.0,top
C34_6,187.581036,-12.55,180.0,top
C34_5,139.581036,-12.55,180.0,top
C34_4,43.581036,-70.55,180.0,top
C34_3,91.581036,-12.55,180.0,top
C34_2,139.581036,-70.55,180.0,top
C34,187.581036,-70.55,180.0,top
C35_8,23.639499,-12.95,270.0,top
C35_7,23.639499,-70.95,270.0,top
C35_6,167.639499,-12.95,270.0,top
C35_5,119.639499,-70.95,270.0,top
C35_4,71.639499,-12.95,270.0,top
C35_3,71.639499,-70.95,270.0,top
C35_2,119.639499,-12.95,270.0,top
C35,167.639499,-70.95,270.0,top
C36_8,30.639499,-77.15,90.0,top
C36_7,174.639499,-77.15,90.0,top
C36_6,78.639499,-19.15,90.0,top
C36_5,174.639499,-19.15,90.0,top
C36_4,78.639499,-77.15,90.0,top
C36_3,30.639499,-19.15,90.0,top
C36_2,126.639499,-19.15,90.0,top
C36,126.639499,-77.15,90.0,top
C37_8,91.581036,-71.398529,0.0,top
C37_7,43.581036,-71.398529,0.0,top
C37_6,91.581036,-13.398529,0.0,top
C37_5,139.581036,-13.398529,0.0,top
C37_4,187.581036,-71.398529,0.0,top
C37_3,139.581036,-71.398529,0.0,top
C37_2,187.581036,-13.398529,0.0,top
C37,43.581036,-13.398529,0.0,top
C38_8,188.011036,-75.15,0.0,top
C38_7,140.011036,-75.15,0.0,top
C38_6,92.011036,-75.15,0.0,top
C38_5,92.011036,-17.15,0.0,top
C38_4,44.011036,-75.15,0.0,top
C38_3,188.011036,-17.15,0.0,top
C38_2,44.011036,-17.15,0.0,top
